adm3_code,org_total,adm3_name,Latitude,Longitude
MZ090101,16,Buzi,-19.81771708,34.36012561
MZ090201,1,Caia,-17.91321706,35.01842162
MZ101301,2,Charre,-17.23876619,35.18847606
MZ090301,1,Chemba,-17.16093212,34.79680077
MZ090501,1,Chibabava,-20.32298039,33.62735591
MZ100401,2,Chifunde,-14.97498507,32.92463957
MZ110201,2,Chinde,-18.68959244,36.2657946
MZ040201,1,Cidade De Chimoio,-19.12704439,33.45626508
MZ110301,2,Cidade De Quelimane,-17.86070275,36.91543805
MZ090601,53,Cidade_Da_Beira,-19.71627952,34.93301114
MZ100701,4,Doa,-16.59741884,34.51768222
MZ041001,9,Dombe,-19.89999962,33.39953284
MZ090701,23,Dondo,-19.53227276,34.93219743
MZ040903,1,Espungabera,-20.52172869,32.80376587
MZ090102,3,Estaquinha,-20.14735312,34.16882356
MZ110502,2,Gile,-16.13446452,38.29165379
MZ090801,2,Gorongosa,-18.78344511,34.32974214
MZ040401,2,Guro,-17.2872911,33.28767908
MZ110601,2,Gurue,-15.41520566,36.97185176
MZ110701,2,Ile,-16.09335866,37.33611048
MZ101302,2,Inhangoma,-17.5071016,35.23222789
MZ110802,2,Inhassunge,-18.02017276,36.82230784
MZ100501,2,Kazula,-15.4768769,33.72671234
MZ110901,2,Luabo,-18.31502496,36.09753291
MZ111001,2,Lugela,-16.32641709,36.79350757
MZ040501,3,Macate,-19.39979495,33.58091
MZ090902,1,Machanga,-21.01130766,34.44199816
MZ040701,2,Macossa,-17.78251918,33.93273534
MZ090702,5,Mafambisse,-19.41199709,34.61730742
MZ111101,2,Maganja,-17.31613528,37.5574374
MZ040802,2,Manica,-18.94380515,32.87698858
MZ081001,2,Maringue,-17.81749941,34.48504995
MZ091102,1,Marromeu,-18.56942241,35.84837153
MZ111302,2,Milange,-16.2336358,35.96436465
MZ111401,4,Mocuba,-17.01735355,36.92114958
MZ111601,1,Molumbo,-15.66853356,36.20240419
MZ111702,2,Mopeia,-17.84213332,35.80281309
MZ111803,1,Morrumbala,-17.24556247,35.71800022
MZ091202,2,Muanza,-18.93808921,34.6784974
MZ111901,2,Mulevala,-16.37202485,37.63495201
MZ090202,2,Murraca,-17.70454134,35.0432918
MZ112002,2,Namacurra,-17.42993241,37.00214195
MZ112101,2,Namarroi,-15.99605718,36.93347799
MZ091301,32,Nhamatanda,-19.33439602,34.13428185
MZ112201,2,Nicoadala,-17.57200083,36.67402263
MZ112303,2,Pebane,-16.9440917,38.11476545
MZ090203,1,Sena,-17.54532417,34.95845591
MZ090103,3,Sofala,-20.29450304,34.51881681
MZ041004,7,Sussundenga,-19.55805069,33.398048
MZ091302,7,Tica,-19.33336143,34.40950405
MZ101502,2,Zumbu,-15.07883369,30.62777579