Province,District,PiN Flood,Female,Male, Children Under 18  
Manica,Barue,"38,911","19,844","19,066","  19,455 "
Manica,Cidade De Chimoio,"195,848","99,882","95,965","  97,924 "
Manica,Gondola,"105,974","54,047","51,927","  52,987 "
Manica,Guro,"5,092","2,597","2,495","  2,546 "
Manica,Macate,"44,684","22,789","21,895","  22,342 "
Manica,Machaze,"27,127","13,835","13,292","  13,563 "
Manica,Macossa,"10,222","5,213","5,009","  5,111 "
Manica,Manica,"47,278","24,112","23,166","  23,639 "
Manica,Mossurize,"46,133","23,528","22,605","  23,067 "
Manica,Sussundenga,"88,358","45,062","43,295","  44,179 "
Manica,Tambara,"28,865","14,721","14,144","  14,432 "
Manica,Vanduzi,"65,172","33,238","31,934","  32,586 "
Sofala,Buzi,"93,163","47,513","45,650","  46,582 "
Sofala,Caia,"20,167","10,285","9,882","  10,083 "
Sofala,Chemba,"9,238","4,711","4,526","  4,619 "
Sofala,Cheringoma,"12,301","6,274","6,028","  6,151 "
Sofala,Chibabava,"70,546","35,978","34,567","  35,273 "
Sofala,Cidade Da Beira,"280,425","143,017","137,408","  140,212 "
Sofala,Dondo,"96,898","49,418","47,480","  48,449 "
Sofala,Gorongosa,"38,290","19,528","18,762","  19,145 "
Sofala,Machanga,"5,869","2,993","2,876","  2,934 "
Sofala,Maringue,"20,766","10,591","10,175","  10,383 "
Sofala,Marromeu,"16,465","8,397","8,068","  8,233 "
Sofala,Muanza,"8,886","4,532","4,354","  4,443 "
Sofala,Nhamatanda,"166,807","85,071","81,735","  83,403 "
Tete,Changara,"6,748","3,441","3,306","  3,374 "
Tete,Cidade de Tete,"32,120","16,381","15,739","  16,060 "
Tete,Doa,"36,945","18,842","18,103","  18,473 "
Tete,Mutarara,"43,597","22,234","21,362","  21,798 "
Zambezia,Chinde,"17,946","9,153","8,794","  8,973 "
Zambezia,Inhassunge,"4,815","2,455","2,359","  2,407 "
Zambezia,Lugela,"9,910","5,054","4,856","  4,955 "
Zambezia,Maganja Da Costa,"38,559","19,665","18,894","  19,279 "
Zambezia,Milange,"32,531","16,591","15,940","  16,266 "
Zambezia,Mocuba,"22,204","11,324","10,880","  11,102 "
Zambezia,Morrumbala,"39,944","20,371","19,572","  19,972 "
Zambezia,Namacurra,"12,719","6,487","6,232","  6,360 "
Zambezia,Nicoadala,"9,492","4,841","4,651","  4,746 "
,,"1,851,014","944,017","906,997","925,507"