period,provincia,population
2007,Zambezia,3849455
2007,Cabo Delgado,1617603
2007,Nampula,3947397
2007,Tete,1783967
2007,Manica,1412248
2007,Gaza,1076503
2007,Maputo,2300337
2007,Sofala,1611615
2007,Inhambane,1423829
2007,Niassa,1197964
2007,Ilha Licom,0
2007,Ilha Risunodo,0
2007,Lago Niassa,0
2018,Zambezia,5763769
2018,Cabo Delgado,2221329
2018,Nampula,6095156
2018,Tete,3436366
2018,Manica,2553353
2018,Gaza,1355123
2018,Maputo,3696110
2018,Sofala,2471059
2018,Inhambane,1923629
2018,Niassa,2343665
2018,Ilha Licom,0
2018,Ilha Risunodo,0
2018,Lago Niassa,0